[2019-06-24 17:11:47] START
[2019-06-24 18:14:12] CREATE Usuario.py: 0
[2019-06-24 18:39:59] EDIT Hoja_de_vida/controllers/default.py: -1
[2019-06-24 18:40:00] EDIT Hoja_de_vida/models/Usuario.py: 29
[2019-06-24 19:45:22] EDIT Hoja_de_vida/controllers/default.py: 0
[2019-06-24 19:45:36] EDIT Hoja_de_vida/controllers/default.py: 0
[2019-06-24 20:26:18] EDIT Hoja_de_vida/views/default/index.html: 101
[2019-06-24 20:30:15] EDIT Hoja_de_vida/models/Usuario.py: -3
[2019-06-24 20:30:18] EDIT Hoja_de_vida/models/Usuario.py: 0
[2019-06-24 20:31:28] EDIT Hoja_de_vida/models/Usuario.py: 0
[2019-06-24 20:35:12] EDIT Hoja_de_vida/models/Usuario.py: 0
[2019-06-24 20:41:11] EDIT Hoja_de_vida/models/Usuario.py: 1
[2019-06-24 20:41:17] EDIT Hoja_de_vida/models/Usuario.py: 0
[2019-06-24 20:42:18] EDIT Hoja_de_vida/models/Usuario.py: 0
[2019-06-24 20:42:25] EDIT Hoja_de_vida/models/Usuario.py: -1
[2019-06-24 21:34:31] EDIT Hoja_de_vida/views/default/index.html: -141
[2019-06-24 21:35:41] EDIT Hoja_de_vida/views/default/index.html: 62
[2019-06-24 21:37:50] EDIT Hoja_de_vida/views/default/index.html: 41
[2019-06-24 21:43:18] EDIT Hoja_de_vida/views/default/index.html: -34
[2019-06-24 21:46:43] EDIT Hoja_de_vida/views/default/index.html: 34
[2019-06-24 21:54:11] EDIT Hoja_de_vida/models/Usuario.py: 0
[2019-06-24 21:55:59] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-24 21:59:11] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-24 22:01:08] EDIT Hoja_de_vida/models/Usuario.py: 0
[2019-06-24 22:04:09] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-24 22:04:20] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-24 22:09:31] EDIT Hoja_de_vida/views/default/index.html: 32
[2019-06-24 22:09:59] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-24 22:10:48] EDIT Hoja_de_vida/models/Usuario.py: 0
[2019-06-24 22:19:43] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-24 22:20:15] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-24 22:21:26] EDIT Hoja_de_vida/views/default/index.html: 5
[2019-06-24 22:32:56] UPLOAD C:/Users/braya/Downloads/web2py/applications/Hoja_de_vida/static/Kevin.jpeg: 192
[2019-06-24 22:33:50] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-24 22:34:30] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-24 22:35:15] DELETE Hoja_de_vida/static/images/Kevin.jpeg: -4
[2019-06-24 22:40:00] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-24 22:46:03] EDIT Hoja_de_vida/views/default/user.html: 2
[2019-06-26 17:47:20] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-26 17:50:45] EDIT Hoja_de_vida/views/default/index.html: 1
[2019-06-26 18:07:18] EDIT Hoja_de_vida/views/default/index.html: 3
[2019-06-26 18:10:44] EDIT Hoja_de_vida/views/layout.html: 1
[2019-06-26 18:30:49] EDIT Hoja_de_vida/views/default/index.html: -5
[2019-06-26 18:32:03] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-26 18:35:41] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-26 18:37:55] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-26 18:45:13] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-26 18:47:20] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-26 19:03:12] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-26 19:21:39] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-26 19:22:29] EDIT Hoja_de_vida/views/default/index.html: 1
[2019-06-26 19:33:47] EDIT Hoja_de_vida/views/default/index.html: 12
[2019-06-26 19:51:54] EDIT Hoja_de_vida/views/default/index.html: -1
[2019-06-26 19:52:58] EDIT Hoja_de_vida/views/default/index.html: -1
[2019-06-26 19:53:00] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-26 19:54:02] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-26 20:05:50] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-26 20:09:42] EDIT Hoja_de_vida/views/default/index.html: -24
[2019-06-26 20:13:20] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-26 20:18:01] EDIT Hoja_de_vida/views/default/index.html: 0
[2019-06-26 20:45:51] EDIT Hoja_de_vida/views/default/index.html: 2
